
이름: 김현수(Hyun-Soo Kim),복귀년도: 2018
전/후반기,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
토,79,79,71,12,22,3,0,1,28,5,2,2,7,1,0,11,1,0,0,0.310,0.380,0.394,0.774,329,0.95,0.26,-0.115
일,90,90,84,14,25,2,0,3,36,17,2,1,6,0,0,25,2,0,0,0.298,0.344,0.429,0.773,360,1.06,2.82,0.298
시간,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
14:00,65,65,58,7,18,2,0,0,20,6,1,1,6,0,0,15,1,0,1,0.310,0.369,0.345,0.714,263,1.07,-2.96,-0.113
15:00,6,6,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,21,1.24,-0.86,-0.069
17:00,110,110,101,21,30,3,0,4,45,17,3,2,8,1,0,22,3,0,0,0.297,0.355,0.446,0.801,441,0.93,5.01,0.442
18:00,8,8,7,1,3,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0.429,0.500,0.571,1.071,31,1.19,0.72,0.002
18:30,318,316,281,45,80,10,2,6,112,33,6,1,31,2,1,54,7,1,3,0.285,0.356,0.399,0.755,1294,1.09,-3.72,-0.653
이름: 이대호(Dae-Ho Lee),복귀년도: 2017
전/후반기,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
전반기,356,353,322,46,109,9,0,17,169,63,0,0,27,7,4,45,16,0,0,0.339,0.402,0.525,0.927,1287,1.11,17.22,2.493
후반기,252,249,218,27,64,4,0,17,119,48,1,1,23,8,4,39,6,0,3,0.294,0.377,0.546,0.923,962,1.05,7.72,1.772
월,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
3월,4,4,4,1,3,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0.750,0.750,1.500,2.250,16,1.20,1.88,0.223
4월,106,106,88,18,36,2,0,6,56,16,0,0,14,4,0,14,4,0,0,0.409,0.509,0.636,1.145,393,1.05,14.45,1.691
5월,89,89,82,9,28,3,0,4,43,13,0,0,5,2,0,10,4,0,0,0.341,0.393,0.524,0.917,318,1.03,-2.46,0.089
6월,107,105,102,11,31,2,0,3,42,20,0,0,5,0,2,16,5,0,0,0.304,0.336,0.412,0.748,386,1.02,3.34,0.420
7월,98,97,85,10,22,3,0,5,40,18,0,0,7,6,2,14,4,0,0,0.259,0.357,0.471,0.828,336,1.50,2.00,0.658
8월,122,119,105,15,34,2,0,10,66,26,1,0,12,3,4,19,4,0,2,0.324,0.402,0.629,1.031,466,1.01,7.10,0.775
9월,78,78,70,9,19,1,0,5,35,16,0,1,7,0,0,11,1,0,1,0.271,0.333,0.500,0.833,324,0.90,-0.04,0.485
10월,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,0.76,-1.33,-0.075
요일,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
화,109,108,95,12,32,2,0,5,49,17,0,0,12,1,2,7,5,0,1,0.337,0.413,0.516,0.929,405,1.06,3.88,0.897
수,94,92,84,14,27,1,0,7,49,22,1,0,8,2,2,20,5,0,0,0.321,0.394,0.583,0.977,367,1.14,5.98,0.763
목,92,91,81,8,18,0,0,4,30,11,0,0,8,2,1,17,4,0,1,0.222,0.304,0.370,0.674,354,1.09,-3.34,-0.296
금,104,103,90,11,26,2,0,6,46,20,0,0,13,1,2,14,2,0,0,0.289,0.385,0.511,0.896,385,1.06,6.13,0.786
토,103,102,94,14,35,6,0,4,53,16,0,0,4,4,1,11,5,0,1,0.372,0.417,0.564,0.981,351,1.06,2.26,0.972
일,106,106,96,14,35,2,0,8,61,25,0,1,5,5,0,15,1,0,0,0.365,0.425,0.635,1.060,387,1.11,10.03,1.142
시간,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
14:00,61,61,55,10,23,2,0,6,43,17,0,1,5,1,0,11,1,0,0,0.418,0.475,0.782,1.257,231,1.04,7.44,0.946
