
이름: 김광현(Kwang-Hyun Kim),복귀년도: 2022
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
요일,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
화,4,4,0,0,3,0,0,0,23.2,11,7,11.00,94,81,16,0,0,2,11,0,0,22,404,1.14,0.198,0.290,0.562,2.66,0.78,-0.84,0.019
수,6,6,0,0,2,2,0,0,35.0,18,16,18.00,148,132,34,8,0,2,10,0,1,26,585,1.26,0.258,0.308,0.672,4.11,1.06,-1.14,0.200
목,6,6,0,0,2,2,0,0,37.0,19,19,18.65,157,147,36,8,2,3,9,0,0,29,597,1.22,0.245,0.288,0.676,4.62,1.01,-1.31,-0.032
금,6,6,0,0,2,1,0,0,32.1,16,15,16.00,137,123,28,5,0,4,11,0,1,29,515,1.21,0.228,0.294,0.660,4.18,0.75,-0.30,0.028
토,5,5,0,0,3,1,0,0,29.1,15,11,14.50,127,118,32,7,1,2,4,1,1,24,467,1.23,0.271,0.294,0.692,3.38,1.07,0.35,-0.027
일,3,3,0,0,0,1,0,0,18.0,7,7,7.00,80,71,24,5,0,1,5,0,0,11,288,1.61,0.338,0.377,0.828,3.50,1.39,1.18,0.139
시간,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
14:00,3,3,0,0,0,2,0,0,19.0,10,6,10.00,81,76,22,6,0,1,2,0,1,14,268,1.26,0.289,0.309,0.717,2.84,1.23,-1.31,-0.180
17:00,4,4,0,0,2,0,0,0,22.0,9,9,9.00,99,87,26,3,1,2,7,1,0,16,384,1.50,0.299,0.344,0.769,3.68,1.23,2.23,0.199
18:00,1,1,0,0,1,0,0,0,6.1,3,3,2.50,27,26,8,3,0,0,0,0,0,5,103,1.26,0.308,0.308,0.731,4.26,0.93,0.62,0.094
18:30,22,22,0,0,9,5,0,0,128.0,64,57,63.65,536,483,114,21,2,11,41,0,2,106,2101,1.21,0.236,0.296,0.652,4.01,0.92,-3.60,0.215
이름: 오승환(Seung-Hwan Oh),복귀년도: 2020
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
전반기,17,0,0,0,1,1,2,6,17.2,9,9,9.35,80,69,20,2,1,1,9,0,1,11,305,1.64,0.290,0.380,0.771,4.58,1.75,2.44,0.055
후반기,28,0,0,0,2,1,0,12,30.0,5,5,8.10,121,111,24,8,0,1,6,0,1,28,485,1.00,0.216,0.263,0.578,1.50,2.36,9.90,1.551
월,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
6월,8,0,0,0,1,0,2,4,8.0,2,2,2.00,32,26,5,1,1,0,5,0,0,6,120,1.25,0.192,0.323,0.631,2.25,1.51,2.67,0.466
7월,9,0,0,0,0,1,0,2,9.2,7,7,7.35,48,43,15,1,0,1,4,0,1,5,185,1.97,0.349,0.417,0.859,6.52,1.91,-0.23,-0.412
8월,8,0,0,0,0,1,0,6,9.2,2,2,2.00,41,36,8,4,0,0,4,0,0,9,175,1.24,0.222,0.300,0.633,1.86,2.46,4.30,0.672
9월,8,0,0,0,1,0,0,2,7.2,2,2,5.10,33,31,9,3,0,0,0,0,1,6,122,1.17,0.290,0.313,0.700,2.35,2.49,-2.08,-0.377
10월,12,0,0,0,1,0,0,4,12.2,1,1,1.00,47,44,7,1,0,1,2,0,0,13,188,0.71,0.159,0.196,0.446,0.71,2.17,7.68,1.256
요일,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
화,9,0,0,0,0,0,0,4,8.2,0,0,1.05,37,30,5,4,0,0,5,0,1,7,139,1.15,0.167,0.306,0.606,0.00,2.11,3.25,0.334
수,7,0,0,0,1,1,1,2,7.2,6,6,6.35,36,34,14,0,1,1,1,0,0,4,133,1.96,0.412,0.429,0.988,7.04,2.34,-0.90,-0.476
목,5,0,0,0,1,0,0,1,7.1,0,0,1.00,30,26,5,1,0,0,3,0,0,5,135,1.09,0.192,0.276,0.507,0.00,2.76,4.43,0.866
