name,연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
김광현,2022,SSG,2.13,28,0,0,13,3,0,0,0.813,694,173 1/3,141,10,45,5,153,48,41
김광현,2023,SSG,3.53,30,0,0,9,8,0,0,0.529,713,168 1/3,163,11,70,2,119,75,66
김광현,2024,SSG,5.38,23,0,0,7,8,0,0,0.467,517,118 2/3,119,17,50,6,115,74,71
류현진,2006,한화,2.23,30,6,1,18,6,1,0,0.750,800,201 2/3,159,11,52,2,204,57,50
류현진,2007,한화,2.94,30,6,1,17,7,0,0,0.708,867,211,195,15,68,3,178,74,69
류현진,2008,한화,3.31,26,2,1,14,7,0,0,0.667,684,165 2/3,144,12,67,1,143,66,61
류현진,2009,한화,3.57,28,4,2,13,12,0,0,0.520,793,189 1/3,180,19,67,2,188,80,75
류현진,2010,한화,1.82,25,5,3,16,4,0,0,0.800,756,192 2/3,149,11,45,9,187,42,39
류현진,2011,한화,3.36,24,3,0,11,7,0,0,0.611,520,126,101,12,38,1,128,54,47
류현진,2012,한화,2.66,27,1,0,9,9,0,0,0.500,734,182 2/3,153,12,46,5,210,58,54
류현진,2024,한화,4.10,22,0,0,6,7,0,0,0.462,540,125,145,7,27,2,105,67,57
양현종,2007,KIA,4.17,31,0,0,1,2,0,0,0.333,217,49 2/3,39,7,31,2,48,24,23
양현종,2008,KIA,5.83,48,0,0,0,5,0,5,0.000,340,75 2/3,77,4,48,1,56,49,49
양현종,2009,KIA,3.15,29,0,0,12,5,0,1,0.706,627,148 2/3,133,14,58,2,139,55,52
양현종,2010,KIA,4.25,30,1,1,16,8,0,0,0.667,748,169 1/3,169,9,98,6,145,84,80
양현종,2011,KIA,6.18,28,1,0,7,9,0,0,0.438,492,106 1/3,116,9,69,4,74,74,73
양현종,2012,KIA,5.05,28,0,0,1,2,0,2,0.333,201,41,51,3,31,4,26,25,23
양현종,2013,KIA,3.10,19,1,0,9,3,0,0,0.750,443,104 2/3,99,10,43,6,95,38,36
양현종,2014,KIA,4.25,29,0,0,16,8,0,0,0.667,732,171 1/3,162,12,77,4,165,85,81
양현종,2015,KIA,2.44,32,1,1,15,6,0,1,0.714,756,184 1/3,150,18,78,7,157,52,50
양현종,2016,KIA,3.68,31,3,0,10,12,0,0,0.455,850,200 1/3,191,19,77,2,146,96,82
양현종,2017,KIA,3.44,31,1,0,20,6,0,0,0.769,808,193 1/3,209,17,45,0,158,88,74
양현종,2018,KIA,4.15,29,3,0,13,11,0,0,0.542,772,184 1/3,199,21,43,2,152,88,85
양현종,2019,KIA,2.29,29,2,2,16,8,0,0,0.667,731,184 2/3,165,6,33,2,163,56,47
양현종,2020,KIA,4.70,31,0,0,11,10,0,0,0.524,746,172 1/3,180,13,64,5,149,99,90
양현종,2022,KIA,3.85,30,0,0,12,7,0,0,0.632,743,175 1/3,170,14,50,3,141,86,75
양현종,2023,KIA,3.58,29,0,0,9,11,0,0,0.450,729,171,181,13,48,1,133,78,68
양현종,2024,KIA,3.75,22,2,0,8,3,0,0,0.727,554,132,131,14,29,6,95,61,55
오승환,2005,삼성,1.18,61,0,0,10,1,16,11,0.909,358,99,46,5,20,0,115,13,13
오승환,2006,삼성,1.59,63,0,0,4,3,47,0,0.571,289,79 1/3,43,1,12,1,109,15,14
오승환,2007,삼성,1.40,60,0,0,4,4,40,0,0.500,251,64 1/3,41,6,17,2,69,12,10
오승환,2008,삼성,1.40,57,0,0,1,1,39,0,0.500,219,57 2/3,34,2,15,1,51,9,9
오승환,2009,삼성,4.83,35,0,0,2,2,19,0,0.500,140,31 2/3,28,7,17,0,51,17,17
오승환,2010,삼성,4.50,16,0,0,0,0,4,0,-,60,14,13,4,5,0,19,7,7
오승환,2011,삼성,0.63,54,0,0,1,0,47,0,1.000,204,57,27,2,11,0,76,4,4
오승환,2012,삼성,1.94,50,0,0,2,1,37,0,0.667,215,55 2/3,33,1,13,3,81,12,12
오승환,2013,삼성,1.74,48,0,0,4,1,28,0,0.800,196,51 2/3,33,4,10,2,54,13,10
오승환,2020,삼성,2.64,45,0,0,3,2,18,2,0.600,201,47 2/3,44,2,15,2,39,14,14
오승환,2021,삼성,2.03,64,0,0,0,2,44,0,0.000,252,62,56,3,16,2,57,17,14
오승환,2022,삼성,3.32,57,0,0,6,2,31,2,0.750,239,57,59,8,13,1,51,23,21
오승환,2023,삼성,3.45,58,0,0,4,5,30,2,0.444,264,62 2/3,57,9,15,2,44,26,24
오승환,2024,삼성,4.17,47,0,0,2,7,27,0,0.222,209,45 1/3,55,4,15,3,30,21,21
